Date,Open,High,Low,Close,Volume
03/26/2024,"104.49","105.00","103.00","104.21","898,188"
03/25/2024,"105.00","105.75","103.00","104.13","925,714"
03/22/2024,"107.00","107.00","104.51","104.99","1,356,805"
03/21/2024,"108.74","108.80","106.19","107.00","2,215,557"
03/20/2024,"109.00","109.50","107.49","108.21","734,100"
03/19/2024,"108.50","110.45","108.11","108.24","1,222,965"
03/18/2024,"109.50","109.50","108.00","108.60","555,706"
03/15/2024,"113.20","114.49","113.20","113.59","651,359"
03/14/2024,"112.99","114.00","112.55","113.65","1,131,221"
03/13/2024,"113.68","114.00","112.06","112.79","471,491"
03/12/2024,"114.67","114.91","113.26","113.68","317,710"
03/11/2024,"114.00","116.00","114.00","114.67","396,401"
03/08/2024,"115.49","116.00","114.31","114.46","491,915"
03/07/2024,"116.19","116.50","114.61","114.93","677,456"
03/06/2024,"116.00","117.95","115.80","115.95","1,631,771"
03/05/2024,"116.00","116.41","115.05","115.70","1,626,318"
03/04/2024,"117.00","117.00","114.85","115.42","4,070,863"
03/01/2024,"116.05","117.80","115.85","117.06","2,452,549"
02/29/2024,"115.00","116.55","115.00","115.97","1,616,054"
02/28/2024,"115.00","116.98","114.06","114.80","5,010,576"
02/27/2024,"115.50","116.00","114.20","115.18","3,449,850"
02/26/2024,"113.77","116.00","113.77","114.75","3,552,299"
02/23/2024,"113.03","115.01","112.00","113.77","3,344,363"
02/22/2024,"112.00","113.40","110.05","112.95","725,835"
02/21/2024,"110.55","113.00","110.55","111.74","528,231"
02/20/2024,"110.00","111.29","108.91","110.00","347,629"
02/19/2024,"110.00","111.48","108.51","110.56","448,399"
02/16/2024,"110.50","111.39","108.01","110.06","524,336"
02/15/2024,"111.11","112.49","108.35","109.64","939,367"
02/14/2024,"111.00","112.55","111.00","111.90","961,375"
02/13/2024,"107.01","110.50","103.00","110.00","1,386,292"
02/12/2024,"110.00","112.40","105.35","108.42","3,683,386"
02/09/2024,"110.50","111.90","106.27","110.72","1,497,628"
02/07/2024,"112.89","114.00","112.34","112.94","2,244,630"
02/06/2024,"113.70","113.70","111.80","112.30","1,221,222"
02/02/2024,"112.00","112.83","111.50","111.87","2,207,990"
02/01/2024,"111.48","112.35","111.20","111.72","636,327"
01/31/2024,"111.70","112.40","110.51","111.18","956,494"
01/30/2024,"112.99","113.98","110.40","111.05","1,339,104"
01/29/2024,"113.90","113.97","111.51","112.03","3,150,745"
01/26/2024,"116.00","116.89","113.51","114.00","2,069,564"
01/25/2024,"116.00","117.01","115.01","115.84","3,340,148"
01/24/2024,"116.95","116.95","115.50","115.73","744,945"
01/23/2024,"115.10","116.60","115.10","116.01","9,668,921"
